Tick,Quality,type,Task
969.3,2.7148354258782144,Order350-5,Task 530
972.3,3.3591671205269624,Order350-6,Task 531
975.3,3.3739072743925522,Order350-8,Task 533
976.3,2.9722925847863184,Order350-2,Task 527
977.3,3.3068629226318142,Order350-2,Task 536
978.3,8.109136941754372,Order350-1,Task 526
978.3,15.974008268531836,Order351-4,Task 547
979.3,1.1511418589555538,Order350-8,Task 542
982.3,11.9982597435752,Order350-4,Task 538
983.3,17.11139021943885,Order350-7,Task 541
983.3,16.551574290624853,Order351-3,Task 546
984.3,5.172419125223934,Order350-9,Task 543
989.3,23.994562030114945,Order346-5,Task 558
991.3,1.4243366769844752,Order350-5,Task 539
995.3,3.0746483908656916,Order350-6,Task 540
995.3,10.218237977527448,Order350-1,Task 535
996.3,10.066669969208252,Order351-8,Task 551
997.3,15.75413509436647,Order351-1,Task 544
1001.3,26.387684961021137,Order347-5,Task 568
1002.3,3.5234009783215683,Order351-6,Task 549
1004.3,2.557684370146114,Order351-7,Task 550
1010.3,17.046481876650383,Order348-9,Task 847
1011.3,19.464336946016463,Order346-7,Task 855
1012.3,0.3263508137088027,Order350-3,Task 537
1014.3,4.4402341325212245,Order351-5,Task 548
1018.3,3.9003227146123285,Order346-1,Task 554
1020.3,11.644379081819363,Order346-6,Task 559
1022.3,9.061952980171277,Order346-9,Task 562
1023.3,2.1540780963620336,Order346-3,Task 556
1026.3,19.06243362309931,Order352-8,Task 866
1028.3,23.79177745199893,Order352-4,Task 862
1028.3,5.52576708221827,Order346-4,Task 557
1028.3,20.502692397672806,Order352-5,Task 863
1028.3,1.5223360053781099,Order346-10,Task 563
1029.0,15.929081832156372,Order350-6,Task 902
1029.3,5.331522798091967,Order347-6,Task 569
1029.3,22.807298893786395,Order352-8,Task 895
1030.3,20.947531096303067,Order352-7,Task 865
1031.3,20.28016520151065,Order352-2,Task 860
1031.3,1.2070878282134798,Order346-8,Task 561
1032.0,10.383483153489259,Order350-4,Task 900
1032.0,3.2834365321030323,Order350-3,Task 899
1032.3,23.460283704435767,Order352-4,Task 891
1032.3,18.128525095105342,Order352-5,Task 892
1033.3,20.893712595495025,Order352-1,Task 859
1034.3,23.152435495113746,Order352-9,Task 867
1034.3,10.291847693293354,Order349-7,Task 590
